0.6990303281273554 0.3495151640636777 0.004526909462288623 -0.03374051600092723 
1.0123635803727926 0.15666662612271853 -0.01835016031070423 -0.14708629395531606 
1.222855165684718 0.1052457926559627 -0.06968750030057527 -0.3951571183372308 
1.382228677143646 0.07968675572946406 -0.16164353629129763 -0.8312597827908734 
1.5202560411451471 0.06901368200075057 -0.319136070238922 -1.5397588008163217 
1.6562957301196095 0.06801984448723122 -0.5949155706466915 -2.5603674527768585 
1.8305737645857427 0.08713901723306665 -1.129945488462886 -3.0138027538572545 
1.895781509822851 0.032603872618554096 -1.3119723796576954 -2.483528723356451 
1.9685971206620647 0.03640780541960683 -1.464039090217234 -1.675718264558943 
2.046169414517497 0.03878614692771617 -1.5625735536990397 -0.9223707341282784 
2.120208998707311 0.03701979209490692 -1.6107228881726268 -0.4395474123583587 
2.1949421553003248 0.037366578296507004 -1.6311593743935087 -0.1520520975127717 
2.2774122481725527 0.04123504643611402 -1.6353862382047692 0.017969505717734882 
2.375671685697248 0.049129718762347535 -1.6277736150229234 0.1151156421215028 
2.499992322120132 0.06216031821144199 -1.609353665391861 0.16724783004143295 
2.6683677124375715 0.08418769515871978 -1.578160670950706 0.19548466779982135 
2.9177395828994124 0.12468593523092034 -1.526313330740229 0.21727402310492175 
3.346954572284321 0.21460749469245438 -1.4253729073538246 0.2562942269538327 
4.254363455893968 0.4537044418048234 -1.1314652499166118 0.4823767340874028 
4.510080457973078 0.1278585010395552 -0.9894939660921811 0.6644942821246227 
4.7098675579374945 0.09989354998220785 -0.8310300632283597 0.9808887370028322 
4.852125299003376 0.07112887053294083 -0.6632725691511919 1.455707149739524 
4.957484351924044 0.05267952646033405 -0.47934181310398555 2.1323204896785266 
5.039072799358144 0.04079422371705012 -0.2725323952434976 3.046236094004287 
5.107392019926465 0.034159610284160154 -0.027228610847642082 4.247409658625367 
5.175339702660576 0.03397384136705543 0.3141497110594294 5.8875292390375975 
5.239769138126228 0.03221471773282599 0.7459329689950653 7.360001577397455 
5.2772118973024496 0.018721379588110782 1.0295519078485944 7.613314406827113 
5.310253441934316 0.01652077231593323 1.2764599449388094 7.15900754979587 
5.345176960653189 0.017461759359436616 1.5089973593953725 6.009744743371032 
5.377683049122657 0.016253044234733997 1.6822869284228488 4.6151135416982285 
5.419084623729908 0.02070078730362537 1.8367083833490654 2.9225538183372644 
5.452152564783669 0.01653397052688025 1.9147182253352715 1.8781924090178448 
5.486304269200689 0.017075852208509955 1.964593598492035 1.1231502633909345 
5.5204131719487775 0.0170544513740442 1.9935343547141655 0.6336079326095599 
5.557541805866584 0.018564316958903294 2.0101686021236334 0.3091502732047099 
5.599725466055118 0.021091830094267294 2.0181090285784453 0.1028113006878706 
5.649589391904993 0.024931962924937347 2.019535999475064 -0.019822559078135342 
5.711031934770412 0.03072127143270981 2.0157563832230956 -0.08578336115654281 
5.790554767446167 0.039761416337877636 2.0072823365768104 -0.1167001835487744 
5.900166888095448 0.05480606032464044 1.993499821435518 -0.12914110636104809 
6.064548687342709 0.08219089962363042 1.971619256714388 -0.13444384992943287 
6.3389851015163545 0.13721820708682245 1.9338447634689895 -0.13904085053591747 
6.835274750077812 0.24814482428072912 1.8616372282833493 -0.14188912571135093 
7.148767313862714 0.1567462818924506 1.8138813114399817 -0.1504993882271933 
7.448617037323099 0.14992486173019237 1.7661291627850588 -0.16107630463593778 
7.7898140726051235 0.17059851764101228 1.7085576784463872 -0.17294048105634005 
8.270675482839273 0.2404307051170753 1.6203188418800822 -0.19240901976893585 
